Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,mother_edu,bw_less_25,bw_equal_25,bw_available,low_bw,iron_supp,wmweight,anc_3_components,inst_delivery,early_bf,anc_4_visits,caesarean_del,health_check_after_birth,pnc_2_days,pnc_health_provider,pnc_mother
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Female,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Female,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Higher,1.0,0.0,1,80.55555555555556,100.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,0.0,0.0,1,0.8928571428571428,100.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Higher,,,0,7.563025210084033,100.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Secondary,0.0,0.0,1,0.8928571428571428,100.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Secondary,0.0,0.0,1,0.8928571428571428,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,1.0,0.0,1,80.55555555555556,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Secondary,,,0,0.8928571428571428,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Higher,0.0,0.0,1,7.563025210084033,100.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,0.0,0.0,1,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Middle,"Other, DK, Missing",Elderly HoH: NO,Female,Mother Edu: None/ECE,0.0,0.0,1,7.563025210084033,100.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Higher,0.0,0.0,1,7.563025210084033,100.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Higher,0.0,0.0,1,7.563025210084033,100.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Primary,0.0,0.0,1,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Poorest,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,80.55555555555556,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Higher,,,0,7.563025210084033,100.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Secondary,,,0,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Secondary,,,0,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,0.0,0.0,1,0.8928571428571428,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,0.0,0.0,1,0.8928571428571428,100.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Poorest,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Primary,,,0,0.8928571428571428,0.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,0.0,0.0,1,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Higher,0.0,0.0,1,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Poorest,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Secondary,,,0,0.8928571428571428,100.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Secondary,,,0,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Higher,0.0,0.0,1,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Middle,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,7.563025210084033,100.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Primary,0.0,0.0,1,0.8928571428571428,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Primary,0.0,0.0,1,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Secondary,,,0,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Secondary,0.0,0.0,1,0.8928571428571428,100.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Richest,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,80.55555555555556,0.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,0.8928571428571428,0.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,0.0,0.0,1,0.0,0.0,1.190537894277256,,,,,,,,,
Total,2000,Urban,Central,Richest,Lao-Tai,Elderly HoH: NO,Female,Mother Edu: Primary,,,0,0.8928571428571428,0.0,1.190537894277256,,,,,,,,,
Total,2000,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: None/ECE,0.0,0.0,1,0.0,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Rich,Chinese-Tibetan,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,0.8928571428571428,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,100.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,100.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Rich,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,0.0,0.0,1,0.8928571428571428,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Chinese-Tibetan,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Chinese-Tibetan,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Chinese-Tibetan,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Chinese-Tibetan,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Chinese-Tibetan,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Chinese-Tibetan,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Middle,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Middle,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Rich,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Lao-Tai,,,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Richest,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Middle,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,"Other, DK, Missing",Elderly HoH: YES,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Rich,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Rich,"Other, DK, Missing",Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,80.55555555555556,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: YES,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Female,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,0.0,1.0,1,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Urban,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100.0,0.9196608161575188,,,,,,,,,
Total,2000,Urban,North,Middle,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Secondary,0.0,0.0,1,0.0,100.0,0.9196608161575188,,,,,,,,,
Total,2000,Urban,North,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Higher,0.0,1.0,1,7.563025210084033,100.0,0.9196608161575188,,,,,,,,,
Total,2000,Urban,North,Poorest,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Primary,,,0,7.563025210084033,100.0,0.9196608161575188,,,,,,,,,
Total,2000,Urban,North,Poorest,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Primary,,,0,0.0,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Urban,North,Poor,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Secondary,,,0,7.563025210084033,100.0,0.9196608161575188,,,,,,,,,
Total,2000,Urban,North,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,80.55555555555556,100.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,80.55555555555556,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,0.8928571428571428,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,80.55555555555556,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,0.8928571428571428,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,80.55555555555556,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,80.55555555555556,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Female,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: None/ECE,,,0,80.55555555555556,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Lao-Tai,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Lao-Tai,Elderly HoH: YES,Male,Mother Edu: Secondary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
Total,2000,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,Mother Edu: Primary,,,0,7.563025210084033,0.0,0.9196608161575188,,,,,,,,,
