MEMID,ED16A
000101002004001,Primary
000101002004002,
000101002004003,Secondary
000101002010001,Secondary
000101002010002,Primary
000101002010003,
000101002010004,
000101002016001,Primary
000101002016002,Primary
000101002016003,Primary
000101002016004,Missing
000101002016005,Primary
000101002016006,Primary
000101002016007,Primary
000101002016008,Primary
000101002016009,
000101002022001,Primary
000101002022002,Primary
000101002022003,
000101002028001,Higher
000101002028002,Higher
000101002028003,Primary
000101002028004,
000101002034001,Secondary
000101002034002,Secondary
000101002034003,Primary
000101002034004,
000101002034005,
000101002040001,Higher
000101002040002,Secondary
000101002040003,Secondary
000101002040004,
000101002040005,
000101002046001,Higher
000101002046002,
000101002046003,
000101002046004,
000101002046005,
000101002052001,Higher
000101002052002,Higher
000101002052003,
000101002058001,Higher
000101002058002,Primary
000101002058003,Primary
000101002058004,
000101002064001,Primary
000101002070001,Higher
000101002070002,Primary
000101002070003,
000101002076001,Higher
000101002076002,Primary
000101002076003,Higher
000101002076004,Higher
000101002076005,Secondary
000101002076006,Higher
000101002076007,Secondary
000101002076008,
000101002082001,Higher
000101002082002,Primary
000101002082003,
000101002082004,
000101002088001,Primary
000101002088002,Secondary
000101002088003,
000101002094001,Primary
000101002094002,Secondary
000101002094003,
000101002094004,
000101002106001,Secondary
000101002106002,Secondary
000101002106003,
000101002112001,Higher
000101002112002,Higher
000101002112003,Higher
000101002112004,Higher
000101002112005,Primary
000101002118001,Primary
000101002118002,Secondary
000101002118003,
000101002118004,Primary
000101002118005,Primary
000101002118006,Primary
000101002124001,Secondary
000101002124002,Primary
000101002124003,Secondary
000101002130001,Secondary
000101002130002,Secondary
000101002130003,Primary
000101002130004,
000101002136001,Primary
000101002136002,Primary
000101002136003,
000101002136004,Primary
000101002148001,Secondary
000101002148002,Primary
000101002148003,Primary
000101002148004,Primary
000101014012001,Primary
000101014012002,
000101014012003,Primary
000101014012004,Primary
000101014012005,Higher
000101014012006,Primary
000101014012007,Primary
000101014026001,Higher
000101014026002,Higher
000101014026003,Secondary
000101014026004,Primary
000101014026005,Higher
000101014026006,Higher
000101014026007,Primary
000101014026008,Primary
000101014040001,Secondary
000101014040002,Secondary
000101014040003,Higher
000101014054001,Higher
000101014054002,Higher
000101014054003,Primary
000101014054004,Primary
000101014068001,Secondary
000101014068002,Primary
000101014068003,Secondary
000101014068004,Primary
000101014068005,Primary
000101014082001,Secondary
000101014082002,Secondary
000101014082003,Higher
000101014096001,Secondary
000101014096002,Primary
000101014096003,Higher
000101014096004,Higher
000101014096005,Secondary
000101014096006,Secondary
000101014096007,Secondary
000101014096008,Primary
000101014116001,Higher
000101014116002,Primary
000101014124001,Higher
000101014124002,Higher
000101014124003,
000101014138001,Primary
000101014138002,Primary
000101014138003,Higher
000101014138004,Higher
000101014138005,Higher
000101014138006,Higher
000101014138007,Higher
000101014138008,Secondary
000101014138009,
000101014138010,Higher
000101014152001,
000101014152002,Secondary
000101014152003,
000101014166001,Secondary
000101014166002,Higher
000101014166003,Secondary
000101014166004,Primary
000101014166005,Primary
000101014166006,Primary
000101014166007,Secondary
000101014166008,Higher
000101014166009,
000101014180001,
000101014180002,Secondary
000101014180003,Higher
000101014180004,
000101014194001,Higher
000101014194002,Higher
000101014194003,
000101014194004,
000101014208001,Primary
000101014208002,Higher
000101014208003,Higher
000101014208004,
000101014222001,Secondary
000101014222002,Primary
000101014222003,Primary
000101014236001,Higher
000101014236002,Higher
000101014236003,
000101014236004,Higher
000101014236005,Secondary
000101014253001,Primary
000101014253002,Primary
000101014253003,Higher
000101014253004,Primary
000101014253005,Primary
000101014264001,DK
000101014264002,DK
000101014264003,Higher
000101014278001,Primary
000101014278002,Higher
000101014278003,Secondary
000101014278004,Higher
000101014278005,Primary
000101014278006,
000101014278007,Higher
000101014292001,Primary
000101014292002,Primary
000101014292003,Secondary
000101014292004,Primary
000101014306001,Primary
000101014306002,
000101014306003,Higher
000101014306004,Secondary
000101014306005,Higher
000101014320001,Secondary
000101014320002,
000101014348001,Higher
000101014348002,Higher
000101014348003,Higher
000101014348004,Higher
000101029005001,
000101029005002,
000101029005003,Primary
000101029014001,Secondary
000101029014002,Secondary
000101029014003,Primary
000101029023001,Higher
000101029023002,Missing
000101029023003,
000101029023004,
000101029032001,Secondary
000101029032002,Secondary
000101029032003,Secondary
000101029032004,Secondary
000101029032005,Higher
000101029032006,Higher
000101029041001,Secondary
000101029041002,Secondary
000101029050001,Primary
000101029050002,Primary
000101029050003,Higher
000101029050004,Higher
000101029050005,Higher
000101029050006,Higher
000101029050007,Primary
000101029059001,Secondary
000101029059002,Secondary
000101029059003,Secondary
000101029059004,Primary
000101029059005,Secondary
000101029068001,Primary
000101029068002,Primary
000101029068003,Higher
000101029068004,Primary
000101029077001,Secondary
000101029077002,Primary
000101029077003,Secondary
000101029077004,Primary
000101029086001,
000101029086002,Primary
000101029086003,Primary
000101029086004,Higher
000101029086005,
000101029086006,
000101029086007,Secondary
000101029086008,Secondary
000101029086009,
000101029095001,Secondary
000101029095002,Secondary
000101029095003,Secondary
000101029095004,Secondary
000101029095005,Secondary
000101029095006,Higher
000101029104001,Higher
000101029104002,Higher
000101029113001,Secondary
000101029113002,Secondary
000101029113003,Primary
000101029113004,Primary
000101029122001,
000101029122002,Higher
000101029131001,
000101029131002,Higher
000101029131003,Secondary
000101029131004,
000101029131005,
000101029140001,
000101029140002,
000101029140003,Secondary
000101029140004,Secondary
000101029140005,Secondary
000101029140006,
000101029149001,DK
000101029149002,Primary
000101029149003,Secondary
000101029149004,Secondary
000101029149005,
000101029158001,Higher
000101029158002,Secondary
000101029158003,Higher
000101029158004,Secondary
000101029158005,Higher
000101029167001,Higher
000101029167002,Higher
000101029167003,Higher
000101029167004,Higher
000101029167005,Higher
000101029167006,
000101029167007,Primary
000101029176001,
000101029176002,
000101029176003,Higher
000101029176004,Higher
000101029176005,Secondary
000101029176006,Primary
000101029185001,
000101029185002,Secondary
000101029185003,Secondary
000101029185004,Secondary
000101029194001,Higher
000101029194002,Primary
000101029194003,Primary
000101029194004,Primary
000101029194005,
000101029203001,Secondary
000101029203002,
000101029203003,Higher
000101029203004,Higher
000101029203005,Higher
000101029203006,Higher
000101029203007,Higher
000101029203008,Primary
000101029203009,Primary
000101029203010,
000101029212001,Higher
000101029212002,Higher
000101029212003,Higher
000101029221001,Higher
000101029221002,Primary
000102013002001,Primary
000102013002002,Secondary
000102013002003,Secondary
000102013008001,Primary
000102013008002,
000102013008003,Higher
000102013008004,Secondary
000102013014001,Secondary
000102013014002,Primary
000102013014003,Secondary
000102013014004,Secondary
000102013014005,Primary
000102013014006,Secondary
000102013020001,Secondary
000102013020002,Primary
000102013020003,Higher
000102013020004,Higher
000102013020005,Higher
000102013020006,Higher
000102013020007,Higher
000102013020008,
000102013020009,Higher
000102013020010,
000102013026001,Higher
000102013026002,Secondary
000102013026003,
000102013026004,
000102013032001,Primary
000102013032002,
000102013032003,Primary
000102013032004,Primary
000102013038001,Secondary
000102013038002,Primary
000102013038003,Higher
000102013038004,Higher
000102013038005,Higher
000102013044001,
000102013044002,Primary
000102013044003,Primary
000102013044004,Higher
000102013044005,
000102013044006,
000102013050001,
000102013050002,Primary
000102013050003,Secondary
000102013056001,Primary
000102013056002,Higher
000102013056003,Higher
000102013062001,Secondary
000102013062002,Primary
000102013062003,Secondary
000102013062004,Primary
000102013068001,
000102013068002,Secondary
000102013068003,Higher
000102013068004,Higher
000102013068005,
000102013068006,Higher
000102013068007,Secondary
000102013074001,Secondary
000102013074002,Secondary
000102013074003,Secondary
000102013074004,Secondary
000102013074005,Primary
000102013080001,Secondary
000102013080002,Secondary
000102013080003,Higher
000102013080004,Primary
000102013080005,Primary
000102013080006,Primary
000102013086001,Primary
000102013086002,Non-formal curriculum
000102013086003,Higher
000102013086004,Higher
000102013086005,Higher
000102013086006,Higher
000102013086007,
000102013086008,
000102013092001,Primary
000102013092002,Primary
000102013092003,Secondary
000102013092004,Secondary
000102013098001,Primary
000102013098002,Primary
000102013098003,Secondary
000102013098004,Secondary
000102013098005,Primary
000102013104001,Primary
000102013104002,Primary
000102013104003,Primary
000102013104004,Primary
000102013110001,Primary
000102013110002,Secondary
000102013110003,Primary
000102013110004,Primary
000102013110005,
000102013116001,DK
000102013116002,
000102013116003,Higher
000102013116004,Higher
000102013116005,Higher
000102013116006,Secondary
000102013122001,Secondary
000102013122002,Higher
000102013122003,Secondary
000102013122004,Secondary
000102013122005,
000102013128001,Primary
000102013128002,
000102013128003,Higher
000102013128004,Secondary
000102013128005,Primary
000102013134001,Primary
000102013134002,DK
000102013134003,Secondary
000102013134004,Primary
000102013134005,Primary
000102013134006,Higher
000102013134007,
000102013140001,Higher
000102013140002,Higher
000102013140003,Secondary
000102013140004,Primary
000102013146001,Primary
000102013146002,Primary
000102013146003,Higher
000102013146004,Secondary
000102033005001,Higher
000102033005002,Secondary
000102033005003,Primary
000102033005004,Primary
000102033015001,Secondary
000102033015002,Primary
000102033015003,Primary
000102033015004,Higher
000102033015005,
000102033015006,Primary
000102033015007,
000102033025001,
000102033025002,Higher
000102033025003,Higher
000102033035001,
000102033035002,Primary
000102033035003,Secondary
000102033035004,Secondary
000102033045001,Secondary
000102033045002,Secondary
000102033045003,Higher
000102033045004,Secondary
000102033045005,Primary
000102033045006,
000102033055001,Primary
000102033055002,Primary
000102033055003,Higher
000102033055004,Secondary
000102033055005,Higher
000102033055006,Higher
000102033055007,Higher
000102033055008,Higher
000102033055009,Secondary
000102033055010,Primary
000102033065001,Higher
000102033065002,Higher
000102033065003,Secondary
000102033065004,Primary
000102033065005,Primary
000102033065006,Higher
000102033075001,Primary
000102033075002,Higher
000102033075003,
000102033075004,
000102033085001,Secondary
000102033085002,Primary
000102033085003,Secondary
000102033085004,Higher
000102033085005,Primary
000102033085006,Secondary
000102033085007,
000102033095001,Higher
000102033095002,Secondary
000102033095003,Primary
000102033095004,Primary
000102033095005,Primary
000102033105001,Primary
000102033105002,Higher
000102033105003,Higher
000102033105004,Secondary
000102033105005,Higher
000102033105006,
000102033105007,
000102033115001,Primary
000102033115002,Non-formal curriculum
000102033115003,Higher
000102033115004,Higher
000102033115005,Secondary
000102033115006,Higher
000102033115007,Higher
000102033115008,Higher
000102033115009,Higher
000102033115010,
000102033115011,
000102033125001,Secondary
000102033125002,Secondary
000102033125003,Secondary
000102033125004,Secondary
000102033125005,Primary
000102033125006,Primary
000102033125007,
000102033135001,
000102033135002,Higher
000102033135003,Secondary
000102033135004,Primary
000102033135005,Higher
000102033135006,Primary
000102033135007,
000102033145001,Secondary
000102033145002,Primary
000102033145003,Higher
000102033155001,Primary
000102033155002,Non-formal curriculum
000102033155003,Secondary
000102033155004,Primary
000102033155005,Primary
000102033155006,
000102033165001,Higher
000102033165002,Higher
000102033165003,Higher
000102033165004,Primary
000102033165005,Higher
000102033165006,Secondary
000102033175001,Primary
000102033175002,Higher
000102033175003,Higher
000102033175004,Higher
000102033175005,
000102033175006,
000102033185001,Secondary
000102033185002,Primary
000102033185003,
000102033195001,Secondary
000102033195002,Secondary
000102033195003,
000102033195004,
000102033195005,Primary
000102033195006,
000102033205001,Primary
000102033205002,Secondary
000102033205003,Primary
000102033205004,Primary
000102033205005,
000102033205006,
000102033215001,Higher
000102033215002,Secondary
000102033215003,Secondary
000102033215004,Secondary
000102033215005,Higher
000102033215006,Secondary
000102033215007,Higher
000102033235001,Primary
000102033235002,Primary
000102033235003,Primary
000102033235004,Primary
000102033235005,Secondary
000102033235006,Secondary
000102033235007,Primary
000102033235008,
000102033235009,Higher
000102033245001,Higher
000102033245002,Higher
000102033245003,Secondary
000102033245004,Primary
000102033245005,Primary
000102033245006,
000102033245007,Higher
000102033245008,Higher
000102049003001,
000102049003002,Primary
000102049003003,Primary
000102049003004,Primary
000102049008001,Primary
000102049008002,Primary
000102049008003,Higher
000102049008004,Secondary
000102049008005,Secondary
000102049013001,Primary
000102049013002,Primary
000102049013003,Primary
000102049013004,Secondary
000102049013005,Primary
000102049013006,Primary
000102049013007,Primary
000102049013008,Primary
000102049018001,Non-formal curriculum
000102049018002,Secondary
000102049018003,Higher
000102049018004,Primary
000102049018005,Primary
000102049023001,Primary
000102049023002,Primary
000102049023003,Secondary
000102049023004,Higher
000102049023005,Higher
000102049023006,Higher
000102049023007,Primary
000102049028001,Secondary
000102049028002,Primary
000102049028003,Higher
000102049028004,Higher
000102049028005,Higher
000102049028006,Higher
000102049028007,Higher
000102049028008,Higher
000102049033001,Primary
000102049033002,Primary
000102049033003,
000102049033004,Primary
000102049033005,Secondary
000102049033006,Secondary
000102049033007,
000102049038001,Primary
000102049038002,Secondary
000102049038003,Primary
000102049038004,Primary
000102049038005,
000102049043001,
000102049043002,Secondary
000102049043003,Secondary
000102049043004,
000102049048001,
000102049048002,
000102049048003,Primary
000102049048004,Primary
000102049048005,
000102049053001,Higher
000102049053002,Secondary
000102049053003,Higher
000102049053004,Primary
000102049053005,
000102049059001,
000102049059002,Secondary
000102049059003,Secondary
000102049059004,Primary
000102049059005,Primary
000102049059006,
000102049063001,
000102049063002,Primary
000102049063003,Primary
000102049063004,Secondary
000102049063005,Primary
000102049063006,Secondary
000102049063007,Primary
000102049063008,Primary
000102049063009,
000102049068001,Secondary
000102049068002,Primary
000102049068003,Primary
000102049068004,Primary
000102049068005,Primary
000102049073001,Primary
000102049073002,Higher
000102049073003,Secondary
000102049073004,Primary
000102049073005,Higher
000102049073006,Primary
000102049078001,Secondary
000102049078002,Secondary
000102049078003,Secondary
000102049078004,Primary
000102049078005,Primary
000102049078006,
000102049078007,
000102049083001,Non-formal curriculum
000102049083002,Non-formal curriculum
000102049083003,Higher
000102049083004,Secondary
000102049083005,Higher
000102049083006,Primary
000102049083007,Primary
000102049083008,Primary
000102049083009,Primary
000102049083010,
000102049088001,Higher
000102049088002,Secondary
000102049088003,Primary
000102049088004,Higher
000102049088005,Secondary
000102049088006,Primary
000102049088007,Primary
000102049088008,
000102049093001,Secondary
000102049093002,Secondary
000102049093003,Secondary
000102049093004,Primary
000102049093005,Higher
000102049098001,Secondary
000102049098002,Primary
000102049098003,Primary
000102049098004,Primary
000102049098005,
000102049103001,Higher
000102049103002,Secondary
000102049103003,Primary
000102049103004,
000102049108001,Higher
000102049108002,Higher
000102049108003,Primary
000102049108004,Primary
000102049108005,Primary
000102049113001,Secondary
000102049113002,Secondary
000102049113003,Primary
000102049113004,Primary
000102049113005,
000102049115001,Higher
000102049115002,Higher
000102049115003,Secondary
000102049115004,Secondary
