HHID,residence,region,wealth_q,eth_hoh
001001,Urban,Central,Richest,Lao
001002,Urban,Central,Richest,Lao
001003,Urban,Central,Richest,Lao
001004,Urban,Central,Richest,Lao
001005,Urban,Central,Richest,Lao
001006,Urban,Central,Richest,Lao
001007,Urban,Central,Richest,Lao
001008,Urban,Central,Richest,Lao
001009,Urban,Central,Richest,Lao
001010,Urban,Central,Richest,Lao
001011,Urban,Central,Richest,Lao
001012,Urban,Central,Richest,Lao
001013,Urban,Central,Rich,Lao
001014,Urban,Central,Richest,Lao
001015,Urban,Central,Richest,Lao
001016,Urban,Central,Richest,Lao
001017,Urban,Central,Richest,Lao
001018,Urban,Central,Richest,Lao
001019,Urban,Central,Richest,Lao
001020,Urban,Central,Richest,Lao
002001,Urban,Central,Richest,Lao
002002,Urban,Central,Richest,Lao
002003,Urban,Central,Richest,Lao
002004,Urban,Central,Richest,Lao
002005,Urban,Central,Richest,Lao
002006,Urban,Central,Richest,Lao
002007,Urban,Central,Richest,Lao
002008,Urban,Central,Richest,Lao
002009,Urban,Central,Richest,Lao
002010,Urban,Central,Richest,Lao
002011,Urban,Central,Richest,Lao
002012,Urban,Central,0.0,
002013,Urban,Central,Richest,Lao
002014,Urban,Central,Rich,Lao
002015,Urban,Central,Richest,Lao
002016,Urban,Central,Richest,Lao
002017,Urban,Central,Richest,Lao
002018,Urban,Central,Richest,Lao
002019,Urban,Central,Richest,Lao
002020,Urban,Central,Richest,Lao
003001,Urban,Central,Richest,Lao
003002,Urban,Central,Richest,Other Language
003003,Urban,Central,Richest,Other Language
003004,Urban,Central,Richest,Lao
003005,Urban,Central,Richest,Lao
003006,Urban,Central,Richest,Lao
003007,Urban,Central,Richest,Lao
003008,Urban,Central,Richest,Lao
003009,Urban,Central,Richest,Lao
003010,Urban,Central,Richest,Lao
003011,Urban,Central,Richest,Lao
003012,Urban,Central,Richest,Lao
003013,Urban,Central,Richest,Lao
003014,Urban,Central,Richest,Lao
003015,Urban,Central,Richest,Lao
003016,Urban,Central,Richest,Lao
003017,Urban,Central,Rich,Lao
003018,Urban,Central,Richest,Lao
003019,Urban,Central,Richest,Other Language
003020,Urban,Central,Richest,Lao
004001,Urban,Central,Richest,Lao
004002,Urban,Central,Richest,Lao
004003,Urban,Central,Richest,Lao
004004,Urban,Central,Richest,Lao
004005,Urban,Central,Richest,Lao
004006,Urban,Central,0.0,
004007,Urban,Central,Richest,Lao
004008,Urban,Central,Richest,Lao
004009,Urban,Central,Richest,Lao
004010,Urban,Central,Rich,Lao
004011,Urban,Central,Richest,Lao
004012,Urban,Central,Rich,Lao
004013,Urban,Central,Richest,Lao
004014,Urban,Central,Richest,Lao
004015,Urban,Central,Rich,Lao
004016,Urban,Central,Richest,Lao
004017,Urban,Central,Richest,Lao
004018,Urban,Central,Richest,Lao
004019,Urban,Central,Richest,Lao
004020,Urban,Central,Richest,Lao
005001,Rural,Central,Richest,Lao
005002,Rural,Central,Richest,Other Language
005003,Rural,Central,Richest,Lao
005004,Rural,Central,Richest,Other Language
005005,Rural,Central,Richest,Lao
005006,Rural,Central,Richest,Lao
005007,Rural,Central,Richest,Lao
005008,Rural,Central,Rich,Lao
005009,Rural,Central,Middle,Lao
005010,Rural,Central,Middle,Lao
005011,Rural,Central,Rich,Lao
005012,Rural,Central,Richest,Lao
005013,Rural,Central,Rich,Lao
005014,Rural,Central,Richest,Lao
005015,Rural,Central,Rich,Lao
005016,Rural,Central,Richest,Lao
005017,Rural,Central,Middle,Lao
005018,Rural,Central,Richest,Lao
005019,Rural,Central,Rich,Lao
005020,Rural,Central,Rich,Lao
006001,Urban,Central,Richest,Lao
006002,Urban,Central,Richest,Lao
006003,Urban,Central,Richest,Lao
006004,Urban,Central,0.0,
006005,Urban,Central,Rich,Lao
006006,Urban,Central,Rich,Lao
006007,Urban,Central,Richest,Lao
006008,Urban,Central,Richest,Lao
006009,Urban,Central,0.0,
006010,Urban,Central,Richest,Khmou
006011,Urban,Central,Richest,Lao
006012,Urban,Central,Richest,Lao
006013,Urban,Central,Richest,Lao
006014,Urban,Central,Rich,Lao
006015,Urban,Central,Richest,Lao
006016,Urban,Central,Rich,Other Language
006017,Urban,Central,Richest,Lao
006018,Urban,Central,Richest,Lao
006019,Urban,Central,Richest,Lao
006020,Urban,Central,Richest,Lao
007001,Urban,Central,Rich,Lao
007002,Urban,Central,Richest,Lao
007003,Urban,Central,Richest,Lao
007004,Urban,Central,Rich,Lao
007005,Urban,Central,Rich,Lao
007006,Urban,Central,Richest,Lao
007007,Urban,Central,0.0,
007008,Urban,Central,Richest,Lao
007009,Urban,Central,Richest,Other Language
007010,Urban,Central,Richest,Lao
007011,Urban,Central,Richest,Lao
007012,Urban,Central,Richest,Lao
007013,Urban,Central,Richest,Lao
007014,Urban,Central,Richest,Lao
007015,Urban,Central,Richest,Lao
007016,Urban,Central,Richest,Lao
007017,Urban,Central,Richest,Lao
007018,Urban,Central,Richest,Lao
007019,Urban,Central,Richest,Lao
007020,Urban,Central,Richest,Lao
008001,Urban,Central,Richest,Lao
008002,Urban,Central,Richest,Lao
008003,Urban,Central,Richest,Lao
008004,Urban,Central,Richest,Lao
008005,Urban,Central,Richest,Lao
008006,Urban,Central,Richest,Lao
008007,Urban,Central,Richest,Lao
008008,Urban,Central,Richest,Lao
008009,Urban,Central,Richest,Lao
008010,Urban,Central,Richest,Lao
008011,Urban,Central,Richest,Lao
008012,Urban,Central,Richest,Hmong
008013,Urban,Central,Richest,Lao
008014,Urban,Central,Richest,Lao
008015,Urban,Central,Richest,Lao
008016,Urban,Central,Richest,Lao
008017,Urban,Central,Richest,Lao
008018,Urban,Central,Richest,Hmong
008019,Urban,Central,Richest,Lao
008020,Urban,Central,Richest,Lao
009001,Urban,Central,Richest,Lao
009002,Urban,Central,Richest,Lao
009003,Urban,Central,Rich,Lao
009004,Urban,Central,Richest,Lao
009005,Urban,Central,Richest,Lao
009006,Urban,Central,Richest,Lao
009007,Urban,Central,Richest,Lao
009008,Urban,Central,Richest,Lao
009009,Urban,Central,Richest,Lao
009010,Urban,Central,Richest,Lao
009011,Urban,Central,Richest,Lao
009012,Urban,Central,Richest,Lao
009013,Urban,Central,Richest,Lao
009014,Urban,Central,Richest,Lao
009015,Urban,Central,Richest,Lao
009016,Urban,Central,Richest,Lao
009017,Urban,Central,Richest,Lao
009018,Urban,Central,Richest,Lao
009019,Urban,Central,Richest,Lao
009020,Urban,Central,Richest,Lao
010001,Urban,Central,Richest,Lao
010002,Urban,Central,Richest,Lao
010003,Urban,Central,Richest,Lao
010004,Urban,Central,Rich,Lao
010005,Urban,Central,Richest,Lao
010006,Urban,Central,Richest,Lao
010007,Urban,Central,Richest,Lao
010008,Urban,Central,Richest,Lao
010009,Urban,Central,Richest,Lao
010010,Urban,Central,Richest,Lao
010011,Urban,Central,Richest,Lao
010012,Urban,Central,Richest,Hmong
