svy,std
Adoo,Mon-Khmer
Akha,Chinese-Tibetan
Brao,Mon-Khmer
Cheng,Mon-Khmer
Grieng,Mon-Khmer
Guan,Lao-Tai
Hahak,Mon-Khmer
Hayee,Chinese-Tibetan
Hor,Chinese-Tibetan
Ilmeam,Hmong-Mien
Katang,Mon-Khmer
Katu,Mon-Khmer
Keummeu,Mon-Khmer
Kree,Mon-Khmer
Lahoo,Chinese-Tibetan
Lamed,Mon-Khmer
Lao,Lao-Tai
Lavy,Mon-Khmer
Leu,Lao-Tai
Lolo,Chinese-Tibetan
Makong,Mon-Khmer
Missing,"Other, DK, Missing"
Mong,Hmong-Mien
Moy,Mon-Khmer
Ngahearn,Mon-Khmer
Nguan,Mon-Khmer
Other,"Other, DK, Missing"
Oy,Mon-Khmer
Pako,Mon-Khmer
Phong,Mon-Khmer
Phouthai,Lao-Tai
Prai,Mon-Khmer
Sairk,Lao-Tai
Samtao,Mon-Khmer
Shuay,Mon-Khmer
Sila,Chinese-Tibetan
Singmoon,Mon-Khmer
Singsiri,"Other, DK, Missing"
Tai,Lao-Tai
Taoy,Mon-Khmer
Thaineau,Lao-Tai
Thein,Mon-Khmer
Treang,Mon-Khmer
Tri,Mon-Khmer
Yerh,"Other, DK, Missing"
Yung,Lao-Tai
Yuroo,Mon-Khmer
