Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,Svy_Completed,mother_edu,bw_less_25,bw_equal_25,bw_available,low_bw,iron_supp,WMWEIGHT
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,0,1.190537894277256
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Female,Completed,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100,1.190537894277256
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,0,1.190537894277256
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,0,1.190537894277256
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100,1.190537894277256
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Female,Completed,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100,1.190537894277256
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Higher,1.0,0.0,1,80.55555555555556,100,1.190537894277256
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Secondary,0.0,0.0,1,7.563025210084033,100,1.190537894277256
Total,2000,Urban,Central,Rich,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,0.0,0.0,1,0.8928571428571428,100,1.190537894277256
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Higher,,,0,7.563025210084033,100,1.190537894277256
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: YES,Male,Completed,Mother Edu: Secondary,0.0,0.0,1,0.8928571428571428,100,1.190537894277256
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,0.0,0.0,1,0.8928571428571428,0,1.190537894277256
Total,2000,Urban,Central,Middle,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Primary,1.0,0.0,1,80.55555555555556,0,1.190537894277256
Total,2000,Urban,Central,Poor,Lao-Tai,Elderly HoH: NO,Male,Completed,Mother Edu: Secondary,,,0,0.8928571428571428,0,1.190537894277256
